#	1_gemini-pro-dev-api	2_claude-2.1	3_command-r	4_gpt-3.5-turbo-0613	5_llama-2-70b-chat	6_mistral-medium	7_qwen1.5-72b-chat	8_vicuna-33b
1	1	1	0	1	0	1	0	2
2	2	2	2	1	1	2	1	0
3	0	2	1	2	0	2	1	1
4	1	1	2	1	1	0	1	1
5	2	2	1	1	1	0	0	1
6	0	0	0	0	0	2	1	1
7	0	0	0	1	0	1	1	1
8	0	0	1	1	0	1	1	1
9	0	0	1	1	0	1	0	1
10	1	2	2	2	2	2	1	1
11	0	0	0	1	0	0	0	0
12	0	0	0	0	1	1	0	0
13	0	1	0	0	1	1	0	0
14	2	2	2	2	1	1	1	1
15	2	2	2	1	2	0	1	0
16	1	1	1	1	2	1	1	1
17	2	0	0	1	1	1	1	1
18	2	0	0	1	1	2	1	1
19	1	1	1	2	0	1	1	1
20	1	2	1	2	0	0	1	1
21	1	1	0	1	0	1	1	1
22	2	1	0	1	0	1	1	1
23	1	1	1	1	1	1	1	0
24	1	0	1	1	0	0	1	1
25	0	1	0	0	0	0	0	0
26	0	0	0	0	0	0	0	0
27	0	1	1	2	1	1	0	1
28	0	2	0	1	0	1	0	1
29	1	1	1	1	0	1	1	1
30	0	0	0	0	0	1	0	0
31	1	2	2	2	2	2	1	2
32	1	2	2	2	0	2	1	2
33	0	2	2	1	2	1	0	1
34	0	1	1	1	1	1	1	0
35	0	2	1	2	1	2	2	0
36	2	2	2	2	2	1	2	1
37	1	1	1	2	0	1	2	2
38	2	2	2	1	1	2	1	1
39	2	2	2	2	0	1	0	2
40	0	1	1	1	0	0	1	1
41	2	2	2	1	1	1	1	1
42	0	0	0	0	0	0	1	1
43	0	1	2	1	1	0	1	0
44	0	0	1	0	1	1	1	1
45	0	0	0	0	0	1	0	0
46	1	0	0	2	0	0	0	2
47	0	0	1	0	0	2	1	0
48	0	1	0	1	1	0	1	1
49	0	0	0	0	1	1	0	1
50	0	0	1	1	1	1	1	1
51	1	1	1	1	1	1	1	1
52	2	2	2	0	1	1	0	1
53	0	1	1	1	1	0	1	1
54	0	1	1	1	1	2	1	1
55	1	1	2	2	2	0	2	0
56	0	0	0	0	0	0	0	0
57	0	1	0	1	2	0	1	1
58	1	1	0	1	1	1	1	1
59	2	2	2	0	0	1	1	1
60	0	0	1	1	1	0	0	1
61	0	1	2	2	1	0	0	1
62	0	2	1	1	0	2	0	1
63	1	0	1	1	0	1	2	1
64	0	0	1	1	0	0	1	1
65	0	2	2	2	2	2	2	0
66	2	2	2	2	0	2	2	2
67	1	0	1	1	0	2	1	0
68	1	0	1	1	1	2	1	1
69	0	0	0	0	0	0	0	0
70	0	0	1	0	1	0	0	0
71	1	1	1	1	1	0	0	0
72	0	1	2	0	0	1	1	0
73	0	0	0	1	0	0	0	0
74	2	1	0	1	0	1	1	1
75	2	2	1	2	0	1	2	0
76	1	0	0	1	1	1	2	2
77	0	0	0	0	0	0	1	1
78	2	2	1	2	0	1	2	1
79	1	2	1	1	0	2	1	1
80	0	0	0	2	0	0	0	0
81	2	2	2	2	2	2	2	2
82	1	1	1	1	1	1	1	1
83	1	2	0	2	1	1	2	1
84	0	2	1	1	0	0	1	1
85	0	0	1	1	0	0	0	0
86	2	2	1	1	0	1	0	0
87	2	2	0	0	1	1	0	1
88	1	1	1	1	1	1	0	1
89	2	0	2	2	2	1	2	2
90	0	0	2	0	0	0	0	1
91	1	0	1	1	1	1	1	1
92	0	2	0	1	2	1	0	0
93	0	1	1	2	0	0	2	1
94	1	1	1	1	0	2	2	2
95	0	2	2	2	2	0	0	1
96	1	1	1	1	1	1	1	1
97	0	0	0	0	1	1	1	0
98	1	1	1	1	1	2	1	1
99	0	2	1	1	0	1	1	2
100	0	0	2	0	1	0	2	1
